Unnamed: 0,batter,baller,ball_speed,ball_length,ball_swing,wicket,wide,runs,shot,commentary
110,Fakhar Zaman,Thakur,,full,straight,0,0,0,flick,"Thakur to Fakhar Zaman, no run, 135ks full delivery on off, Zaman defends it back to Shardul"
111,Agha Salman,Thakur,,full,straight,0,0,1,defend,"Thakur to Agha Salman, 1 run, 135ks full delivery on off, Salman flicks wide of mid-on and Hardik makes a good stop"
112,Agha Salman,Thakur,,full,outside,0,0,4,defend,"Thakur to Agha Salman, FOUR, lovely shot, Nothing wrong with the delivery"
113,Agha Salman,Thakur,,full,straight,0,0,2,flick,"Thakur to Agha Salman, 2 runs, short and width on offer, Salman slashes over backward point and Bumrah tidies up in the deep"
114,Fakhar Zaman,Thakur,,full,straight,0,0,1,cut,"Thakur to Fakhar Zaman, 1 run, short of length at the body, Zaman swivels and pulls to deep backward square"
115,Agha Salman,Hardik Pandya,,full,outside,0,0,0,defend,"Hardik Pandya to Agha Salman, no run, 138ks nips back in from good length, Salman shoulders arms"
116,Agha Salman,Hardik Pandya,,full,outside,0,0,0,defend,"Hardik Pandya to Agha Salman, no run, 140ks good length ball around off, Salman blocks to point"
117,Agha Salman,Hardik Pandya,,full,straight,0,0,0,defend,"Hardik Pandya to Agha Salman, no run, full and at the stumps, Salman almost digs it out to mid-on"
118,Agha Salman,Hardik Pandya,,full,outside,0,0,0,defend,"Hardik Pandya to Agha Salman, no run, appeal for caught behind from Hardik"
119,Fakhar Zaman,Hardik Pandya,,full,outside,0,0,1,defend,"Hardik Pandya to Fakhar Zaman, 1 run, angled across the left hander, Zaman drives on the bounce to sweeper cover"
120,Fakhar Zaman,Hardik Pandya,,full,outside,0,0,0,defend,"Hardik Pandya to Fakhar Zaman, no run, 136ks fullish delivery around off, Zaman prods forward and defends to cover"
121,Agha Salman,Thakur,,full,straight,0,0,0,defend,"Thakur to Agha Salman, no run, attacks the stumps, Salman is not fully forward as he blocks to the right of Shardul"
122,Agha Salman,Thakur,,full,straight,0,0,0,defend,"Thakur to Agha Salman, no run, fuller than a good length, Salman prods forward and defends to the off-side"
123,Fakhar Zaman,Thakur,,full,straight,0,0,1,cut,"Thakur to Fakhar Zaman, 1 run, short of length at the body, Zaman pulls it backward of square leg"
124,Fakhar Zaman,Thakur,,full,outside,0,1,1,defend,"Thakur to Fakhar Zaman, wide, wayward delivery down leg"
125,Rizwan,Hardik Pandya,,full,straight,0,0,1,defend,"Hardik Pandya to Rizwan, 1 run, full on off stump, Rizwan drives it to the left of mid-off for a quick single"
126,Rizwan,Hardik Pandya,,full,outside,0,0,0,defend,"Hardik Pandya to Rizwan, no run, India lose their second review"
127,Babar Azam,Hardik Pandya,,full,outside,1,0,0,cover drive,"Hardik Pandya to Babar Azam, out Bowled,, Oh dear,, An absolute corker from Hardik Pandya, a big inswinger that is too good even for the Pakistani skipper"
