Unnamed: 0,batter,baller,ball_speed,ball_length,ball_swing,wicket,wide,runs,shot,commentary
52,Shanaka,Kuldeep Yadav,,full,outside,0,0,1,defend,"Kuldeep Yadav to Shanaka, 1 run, short of length around leg-stump, Shanaka punches it to deep mid-wicket"
53,Shanaka,Kuldeep Yadav,,full,outside,0,0,0,flick,"Kuldeep Yadav to Shanaka, no run, touch quicker on off, Shanaka defends it back to Kuldeep"
54,Shanaka,Kuldeep Yadav,,full,outside,0,0,4,defend,"Kuldeep Yadav to Shanaka, FOUR, offered a gift first up and Shanaka accepts it happily"
55,Asalanka,Kuldeep Yadav,,short,outside,1,0,0,flick,"Kuldeep Yadav to Asalanka, out Caught by Rahul,, Second wicket for Kuldeep and he has sent back both set batters"
56,Asalanka,Kuldeep Yadav,,full,straight,0,0,0,cut,"Kuldeep Yadav to Asalanka, no run, tossed up close to off, Asalanka blocks to the off-side"
57,Dhananjaya,Kuldeep Yadav,,full,straight,0,0,1,flick,"Kuldeep Yadav to Dhananjaya, 1 run, slower but fraction short, Dhananjaya nudges it to deep square leg"
58,Dhananjaya,Kuldeep Yadav,,full,straight,0,0,0,defend,"Kuldeep Yadav to Dhananjaya, no run, spinning into the hips, Dhananjaya tucks it towards leg slip and Gill makes a fine stop"
59,Dhananjaya,Kuldeep Yadav,,full,straight,0,0,0,cut,"Kuldeep Yadav to Dhananjaya, no run, floated up outside off, Dhananjaya pushes off the inner half to mid-wicket"
60,Samarawickrama,Kuldeep Yadav,,full,outside,1,0,0,defend,"Kuldeep Yadav to Samarawickrama, out Stumped,, There's the wicket India desperately needed"
61,Samarawickrama,Kuldeep Yadav,,full,straight,0,0,0,defend,"Kuldeep Yadav to Samarawickrama, no run, half an apppeal for LBW"
62,Asalanka,Kuldeep Yadav,,full,outside,0,0,1,defend,"Kuldeep Yadav to Asalanka, 1 run, short and turning away, Asalanka late cuts and Jadeja makes an important interception near short third"
63,Samarawickrama,Kuldeep Yadav,,full,outside,0,0,0,flick,"Kuldeep Yadav to Samarawickrama, no run, comes down the track and misses the flick, rapped on the pads but the ball was spinning"
64,Asalanka,Kuldeep Yadav,,full,straight,0,0,1,defend,"Kuldeep Yadav to Asalanka, 1 run, tossed up on middle, Asalanka nudges it to square leg"
65,Samarawickrama,Kuldeep Yadav,,full,leg,0,0,1,flick,"Kuldeep Yadav to Samarawickrama, 1 run, nurdled with the spin backward of square leg"
66,Samarawickrama,Kuldeep Yadav,,full,outside,0,0,2,defend,"Kuldeep Yadav to Samarawickrama, 2 runs, short and drifted across, Samarawickrama cracks it in front of square and Axar stops it with his boot, the pair are content with a brace"
67,Asalanka,Kuldeep Yadav,,full,outside,0,0,1,defend,"Kuldeep Yadav to Asalanka, 1 run, flighted outside off, Asalanka opens the bat face and eases it past cover"
68,Samarawickrama,Kuldeep Yadav,,full,outside,0,0,1,defend,"Kuldeep Yadav to Samarawickrama, 1 run, spinning into leg-stump, Samarawickrama glances it to fine leg"
69,Samarawickrama,Kuldeep Yadav,,full,straight,0,0,0,defend,"Kuldeep Yadav to Samarawickrama, no run, very full delivery outside off, Samarawickrama digs the drive towards cover"
70,Samarawickrama,Kuldeep Yadav,,full,straight,0,0,0,flick,"Kuldeep Yadav to Samarawickrama, no run, tossed up around off, Samarawickrama drives it back to Kuldeep"
71,Asalanka,Kuldeep Yadav,,full,straight,0,0,1,defend,"Kuldeep Yadav to Asalanka, 1 run, floated up on leg-stump, Asalanka nudges it to the vacant mid-wicket region"
72,Asalanka,Kuldeep Yadav,,full,straight,0,0,0,defend,"Kuldeep Yadav to Asalanka, no run, slower and turning away, Asalanka directs it towards point"
73,Samarawickrama,Kuldeep Yadav,,full,straight,0,0,1,flick,"Kuldeep Yadav to Samarawickrama, 1 run, comes down the track and works it with the spin to long-on"
74,Asalanka,Kuldeep Yadav,,full,straight,0,0,3,defend,"Kuldeep Yadav to Asalanka, 3 runs, flighted on off, Asalanka drags the sweep to fine leg and it is a long chase for a returning Bumrah, he gets there and manages to keep it in before the boundary rope"
75,Pathirana,Kuldeep Yadav,,full,outside,1,0,0,defend,"Kuldeep Yadav to Pathirana, out Bowled,, Poor shot and India win"
76,Pathirana,Kuldeep Yadav,,full,outside,0,0,0,defend,"Kuldeep Yadav to Pathirana, no run, keeps low and turns in on the stumps, Pathirana does well to turn it to square leg"
77,Rajitha,Kuldeep Yadav,,full,outside,1,0,0,defend,"Kuldeep Yadav to Rajitha, out Bowled,, What a googly and knocked over"
78,Rajitha,Hardik Pandya,,full,outside,0,0,1,defend,"Hardik Pandya to Rajitha, 1 run, full and snaking back in on middle, flicked to mid-wicket and Rajitha is away"
79,Theekshana,Hardik Pandya,,full,outside,1,0,0,defend,"Hardik Pandya to Theekshana, out Caught by (sub)Suryakumar Yadav,, Fantastic catch and it is SKY"
80,Theekshana,Hardik Pandya,,full,straight,0,0,0,defend,"Hardik Pandya to Theekshana, no run, another grunty effort-filled length delivery from Hardik Pandya, on the stumps, defended to cover"
